PACid	species	locusName	transcriptName	proteinName	PFAM	PFAM_DEF	PANTHER	PANTHER_DEF	KOG	KOG_DEF	EC	EC_DEF	KEGG	KEGG_DEF	GO	GO_DEF	PATHWAY	PATHWAY_DEF	alias	defLine
PAC:26757844	G. raimondii	Gorai.010G165700	Gorai.010G165700.1	Gorai.010G165700.1	PF00125	PF00125 - Core histone H2A/H2B/H3/H4	PTHR11426	PTHR11426 - HISTONE H3					K11253; K11254	K11253 - histone H3; K11254 - histone H4	GO:0003677; GO:0005524; GO:0046982; GO:0009058; GO:0000786; GO:0016874	GO:0016874 - Catalysis of the joining of two substances, or two groups within a single molecule, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.; GO:0009058 - The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.; GO:0005524 - Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.; GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 1) K11253//K11254 - histone H3 (H3) // histone H4 (H4)
PAC:26813478	G. raimondii	Gorai.008G294200	Gorai.008G294200.1	Gorai.008G294200.1			PTHR11871:SF12; PTHR11871	PTHR11871 - PROTEIN PHOSPHATASE PP2A REGULATORY SUBUNIT B; PTHR11871:SF12 - SUBFAMILY NOT NAMED	KOG1446	KOG1446 - Histone H3 (Lys4) methyltransferase complex and RNA cleavage factor II complex, subunit SWD2			K04354	K04354 - serine/threonine-protein phosphatase 2A regulatory subunit B	GO:0005515; GO:0000159; GO:0008601	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0000159 - A protein complex that has protein serine/threonine phosphatase activity that is polycation-stimulated (PCS), being directly stimulated by protamine, polylysine, or histone H1; it constitutes a subclass of several enzymes activated by different histones and polylysine, and consists of catalytic, scaffolding, and regulatory subunits. The catalytic and scaffolding subunits form the core enzyme, and the holoenzyme also includes the regulatory subunit.; GO:0008601 - Modulation of the activity of the enzyme protein phosphatase type 2A.				(1 of 1) PTHR11871//PTHR11871:SF12 - PROTEIN PHOSPHATASE PP2A REGULATORY SUBUNIT B // SUBFAMILY NOT NAMED
PAC:26790519	G. raimondii	Gorai.013G226400	Gorai.013G226400.1	Gorai.013G226400.1	PF12165; PF00628	PF00628 - PHD-finger; PF12165 - Domain of unknown function (DUF3594)	PTHR12321:SF55; PTHR12321; PTHR12321:SF61	PTHR12321:SF55 - PHD FINGER PROTEIN ALFIN-LIKE 4; PTHR12321 - CPG BINDING PROTEIN; PTHR12321:SF61 - PHD FINGER PROTEIN ALFIN-LIKE 5	KOG1632	KOG1632 - Uncharacterized PHD Zn-finger protein					GO:0008270; GO:0005515; GO:0042393; GO:0006355	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0006355 - Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.; GO:0042393 - Interacting selectively and non-covalently with a histone, any of a group of water-soluble proteins found in association with the DNA of plant and animal chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in nonspecific suppression of gene activity.				(1 of 2) PTHR12321:SF55 - PHD FINGER PROTEIN ALFIN-LIKE 4
PAC:26813112	G. raimondii	Gorai.008G288700	Gorai.008G288700.1	Gorai.008G288700.1	PF13923; PF02182; PF00097	PF13923 - Zinc finger, C3HC4 type (RING finger); PF00097 - Zinc finger, C3HC4 type (RING finger); PF02182 - SAD/SRA domain	PTHR14140	PTHR14140 - E3 UBIQUITIN-PROTEIN LIGASE UHRF-RELATED			2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase	K10638	K10638 - ""	GO:0008270; GO:0005515; GO:0046872; GO:0042393	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.; GO:0046872 - Interacting selectively and non-covalently with any metal ion.; GO:0042393 - Interacting selectively and non-covalently with a histone, any of a group of water-soluble proteins found in association with the DNA of plant and animal chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in nonspecific suppression of gene activity.				(1 of 4) K10638 - E3 ubiquitin-protein ligase UHRF1 [EC:6.3.2.19] (UHRF1, NP95)
PAC:26790756	G. raimondii	Gorai.013G003600	Gorai.013G003600.1	Gorai.013G003600.1	PF02182; PF00856; PF05033	PF05033 - Pre-SET motif; PF02182 - SAD/SRA domain; PF00856 - SET domain	PTHR22884:SF383; PTHR22884	PTHR22884 - SET DOMAIN PROTEINS; PTHR22884:SF383 - HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-9 SPECIFIC SUVH1-RELATED	KOG1082	KOG1082 - Histone H3 (Lys9) methyltransferase SUV39H1/Clr4, required for transcriptional silencing	2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase	K11420	K11420 - euchromatic histone-lysine N-methyltransferase	GO:0005634; GO:0008270; GO:0005515; GO:0034968; GO:0042393; GO:0018024; GO:0016571	GO:0018024 - Catalysis of the reaction: S-adenosyl-L-methionine + histone L-lysine = S-adenosyl-L-homocysteine + histone N6-methyl-L-lysine. The methylation of peptidyl-lysine in histones forms N6-methyl-L-lysine, N6,N6-dimethyl-L-lysine and N6,N6,N6-trimethyl-L-lysine derivatives.; GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0034968 - The modification of a histone by addition of one or more methyl groups to a lysine residue.; GO:0016571 - The modification of histones by addition of methyl groups.; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.; GO:0042393 - Interacting selectively and non-covalently with a histone, any of a group of water-soluble proteins found in association with the DNA of plant and animal chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in nonspecific suppression of gene activity.				(1 of 3) PTHR22884:SF383 - HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-9 SPECIFIC SUVH1-RELATED
PAC:26764215	G. raimondii	Gorai.009G030600	Gorai.009G030600.1	Gorai.009G030600.1	PF05185; PF13847	PF05185 - PRMT5 arginine-N-methyltransferase; PF13847 - Methyltransferase domain	PTHR11006	PTHR11006 - PROTEIN ARGININE N-METHYLTRANSFERASE	KOG1499	KOG1499 - Protein arginine N-methyltransferase PRMT1 and related enzymes	2.1.1.125	2.1.1.125 - Histone-arginine N-methyltransferase	K11434	K11434 - protein arginine N-methyltransferase 1	GO:0008168; GO:0006479	GO:0006479 - The addition of a methyl group to a protein amino acid. A methyl group is derived from methane by the removal of a hydrogen atom.; GO:0008168 - Catalysis of the transfer of a methyl group to an acceptor molecule.				(1 of 3) K11434 - protein arginine N-methyltransferase 1 (PRMT1)
PAC:26830165	G. raimondii	Gorai.006G144800	Gorai.006G144800.1	Gorai.006G144800.1	PF00856	PF00856 - SET domain	PTHR12197:SF145; PTHR12197	PTHR12197 - SET AND MYND DOMAIN CONTAINING; PTHR12197:SF145 - SET DOMAIN-CONTAINING PROTEIN			2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase	K11426	K11426 - ""	GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).				(1 of 1) PTHR12197:SF145 - SET DOMAIN-CONTAINING PROTEIN
PAC:26817199	G. raimondii	Gorai.008G204000	Gorai.008G204000.1	Gorai.008G204000.1	PF02135; PF00651	PF00651 - BTB/POZ domain; PF02135 - TAZ zinc finger	PTHR24413:SF75; PTHR24413	PTHR24413 - FAMILY NOT NAMED; PTHR24413:SF75 - BTB/POZ AND TAZ DOMAIN-CONTAINING PROTEIN 2	KOG1778	KOG1778 - CREB binding protein/P300 and related TAZ Zn-finger proteins					GO:0005634; GO:0004402; GO:0008270; GO:0005515; GO:0003712; GO:0006355	GO:0003712 - Interacting selectively and non-covalently with a regulatory transcription factor and also with the basal transcription machinery in order to modulate transcription. Cofactors generally do not bind the template nucleic acid, but rather mediate protein-protein interactions between regulatory transcription factors and the basal transcription machinery.; GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0004402 - Catalysis of the reaction: acetyl-CoA + histone = CoA + acetyl-histone.; GO:0006355 - Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.				(1 of 2) PTHR24413:SF75 - BTB/POZ AND TAZ DOMAIN-CONTAINING PROTEIN 2
PAC:26765545	G. raimondii	Gorai.009G188800	Gorai.009G188800.1	Gorai.009G188800.1	PF13450; PF04433	PF04433 - SWIRM domain; PF13450 - NAD(P)-binding Rossmann-like domain	PTHR10742; PTHR10742:SF246	PTHR10742 - AMINE OXIDASE; PTHR10742:SF246 - LYSINE-SPECIFIC HISTONE DEMETHYLASE 1 HOMOLOG 1	KOG0029	KOG0029 - Amine oxidase	1.5.3.16	1.5.3.16 - Spermine oxidase	K11450	K11450 - ""	GO:0003677; GO:0005634; GO:0005515; GO:0016575; GO:0051568	GO:0016575 - The modification of histones by removal of acetyl groups.; GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0051568 - The modification of histone H3 by addition of one or more methyl groups to lysine at position 4 of the histone.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	PWY-6441	PWY-6441 - ""		(1 of 1) PTHR10742:SF246 - LYSINE-SPECIFIC HISTONE DEMETHYLASE 1 HOMOLOG 1
PAC:26788300	G. raimondii	Gorai.013G264900	Gorai.013G264900.1	Gorai.013G264900.1	PF00125	PF00125 - Core histone H2A/H2B/H3/H4	PTHR23428	PTHR23428 - HISTONE H2B	KOG1744	KOG1744 - Histone H2B			K11252	K11252 - histone H2B	GO:0003677; GO:0046982; GO:0000786	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 14) K11252 - histone H2B (H2B)
PAC:26821338	G. raimondii	Gorai.001G155600	Gorai.001G155600.1	Gorai.001G155600.1	PF00125	PF00125 - Core histone H2A/H2B/H3/H4	PTHR11426; PTHR11426:SF57; PTHR11426:SF46	PTHR11426:SF46 - HISTONE H3-LIKE CENTROMERIC PROTEIN A; PTHR11426:SF57 - SUBFAMILY NOT NAMED; PTHR11426 - HISTONE H3	KOG1745	KOG1745 - Histones H3 and H4			K11253	K11253 - histone H3	GO:0003677; GO:0046982; GO:0000786	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 1) PTHR11426:SF46 - HISTONE H3-LIKE CENTROMERIC PROTEIN A
PAC:26800876	G. raimondii	Gorai.003G061700	Gorai.003G061700.1	Gorai.003G061700.1	PF03985	PF03985 - Paf1	PTHR23188:SF12; PTHR23188	PTHR23188 - FAMILY NOT NAMED; PTHR23188:SF12 - RNA POLYMERASE II-ASSOCIATED FACTOR 1 HOMOLOG	KOG2478	KOG2478 - Putative RNA polymerase II regulator			K15174	K15174 - ""	GO:0016570; GO:0016593; GO:0006368	GO:0006368 - The extension of an RNA molecule after transcription initiation and promoter clearance at an RNA polymerase II promoter by the addition of ribonucleotides catalyzed by RNA polymerase II.; GO:0016570 - The covalent alteration of one or more amino acid residues within a histone protein.; GO:0016593 - A multiprotein complex that associates with RNA polymerase II and general RNA polymerase II transcription factor complexes and may be involved in both transcriptional initiation and elongation. In Saccharomyces the complex contains Paf1p, Cdc73p, Ctr9p, Rtf1p, and Leo1p.				(1 of 2) K15174 - RNA polymerase II-associated factor 1 (PAF1)
PAC:26825818	G. raimondii	Gorai.012G038200	Gorai.012G038200.1	Gorai.012G038200.1	PF02146	PF02146 - Sir2 family	PTHR11085:SF6; PTHR11085	PTHR11085:SF6 - NAD-DEPENDENT PROTEIN DEACETYLASE SIRTUIN-4; PTHR11085 - CHROMATIN REGULATORY PROTEIN SIR2	KOG2683	KOG2683 - Sirtuin 4 and related class II sirtuins (SIR2 family)	3.5.1.98	3.5.1.98 - Histone deacetylase	K11414	K11414 - ""	GO:0070403	GO:0070403 - Interacting selectively and non-covalently with the oxidized form, NAD, of nicotinamide adenine dinucleotide, a coenzyme involved in many redox and biosynthetic reactions.				(1 of 1) PTHR11085:SF6 - NAD-DEPENDENT PROTEIN DEACETYLASE SIRTUIN-4
PAC:26797372	G. raimondii	Gorai.003G122100	Gorai.003G122100.1	Gorai.003G122100.1	PF00856; PF00628	PF00628 - PHD-finger; PF00856 - SET domain	PTHR10615:SF112; PTHR10615	PTHR10615:SF112 - HISTONE-LYSINE N-METHYLTRANSFERASE ATXR5; PTHR10615 - HISTONE ACETYLTRANSFERASE			2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase			GO:0008270; GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.				(1 of 2) PTHR10615:SF112 - HISTONE-LYSINE N-METHYLTRANSFERASE ATXR5
PAC:26811881	G. raimondii	Gorai.011G133800	Gorai.011G133800.1	Gorai.011G133800.1	PF13891	PF13891 - Potential DNA-binding domain	PTHR13453	PTHR13453 - UNCHARACTERIZED							GO:0000123	GO:0000123 - A protein complex that possesses histone acetyltransferase activity.				(1 of 3) PF13891 - Potential DNA-binding domain (zf-C3Hc3H)
PAC:26811524	G. raimondii	Gorai.011G053000	Gorai.011G053000.1	Gorai.011G053000.1	PF15511	PF15511 - Centromere kinetochore component CENP-T histone fold	PTHR10484	PTHR10484 - HISTONE H4	KOG3467	KOG3467 - Histone H4			K11254	K11254 - histone H4	GO:0003677; GO:0005634; GO:0046982; GO:0000786	GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 17) K11254 - histone H4 (H4)
PAC:26797135	G. raimondii	Gorai.003G040200	Gorai.003G040200.1	Gorai.003G040200.1	PF15511	PF15511 - Centromere kinetochore component CENP-T histone fold	PTHR10484	PTHR10484 - HISTONE H4	KOG3467	KOG3467 - Histone H4			K11254	K11254 - histone H4	GO:0003677; GO:0005634; GO:0046982; GO:0000786	GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 17) K11254 - histone H4 (H4)
PAC:26829063	G. raimondii	Gorai.006G005400	Gorai.006G005400.1	Gorai.006G005400.1	PF00808	PF00808 - Histone-like transcription factor (CBF/NF-Y) and archaeal histone	PTHR11064:SF41; PTHR11064	PTHR11064 - CCAAT-BINDING TRANSCRIPTION FACTOR-RELATED; PTHR11064:SF41 - NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT B-7	KOG0869	KOG0869 - CCAAT-binding factor, subunit A (HAP3)			K08065	K08065 - nuclear transcription Y subunit beta	GO:0046982	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.				(1 of 1) K08065 - nuclear transcription Y subunit beta (NFYB)
PAC:26773289	G. raimondii	Gorai.004G182600	Gorai.004G182600.1	Gorai.004G182600.1	PF02373; PF02928; PF02375	PF02375 - jmjN domain; PF02928 - C5HC2 zinc finger; PF02373 - JmjC domain, hydroxylase	PTHR10694:SF33; PTHR10694	PTHR10694:SF33 - TRANSCRIPTION FACTOR JUMONJI (JMJ) FAMILY PROTEIN / ZINC FINGER (C5HC2 TYPE) FAMILY PROTEIN; PTHR10694 - JUMONJI DOMAIN CONTAINING PROTEIN			1.14.11.27	1.14.11.27 - [Histone H3]-lysine-36 demethylase								(1 of 3) PTHR10694:SF33 - TRANSCRIPTION FACTOR JUMONJI (JMJ) FAMILY PROTEIN / ZINC FINGER (C5HC2 TYPE) FAMILY PROTEIN
PAC:26832115	G. raimondii	Gorai.006G269400	Gorai.006G269400.1	Gorai.006G269400.1	PF00808	PF00808 - Histone-like transcription factor (CBF/NF-Y) and archaeal histone	PTHR11064:SF35; PTHR11064	PTHR11064 - CCAAT-BINDING TRANSCRIPTION FACTOR-RELATED; PTHR11064:SF35 - PROTEIN DR1 HOMOLOG	KOG0871	KOG0871 - Class 2 transcription repressor NC2, beta subunit (Dr1)					GO:0046982	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.				(1 of 2) PTHR11064:SF35 - PROTEIN DR1 HOMOLOG
PAC:26761079	G. raimondii	Gorai.010G209600	Gorai.010G209600.1	Gorai.010G209600.1							2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase								(1 of 70) 2.1.1.43 - Histone-lysine N-methyltransferase / Protein-lysine N-methyltransferase
PAC:26821223	G. raimondii	Gorai.001G201200	Gorai.001G201200.1	Gorai.001G201200.1	PF00538; PF02178	PF00538 - linker histone H1 and H5 family; PF02178 - AT hook motif	PTHR11467:SF49; PTHR11467	PTHR11467:SF49 - SUBFAMILY NOT NAMED; PTHR11467 - HISTONE H1/H5							GO:0003677; GO:0005634; GO:0006355; GO:0000786; GO:0000785; GO:0006334	GO:0000785 - The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome.; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0006334 - The aggregation, arrangement and bonding together of a nucleosome, the beadlike structural units of eukaryotic chromatin composed of histones and DNA.; GO:0006355 - Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 2) PTHR11467//PTHR11467:SF49 - HISTONE H1/H5 // SUBFAMILY NOT NAMED
PAC:26786353	G. raimondii	Gorai.013G069100	Gorai.013G069100.1	Gorai.013G069100.1			PTHR12549; PTHR12549:SF16	PTHR12549:SF16 - HISTONE H3MK9 DEMETHYLASE; PTHR12549 - JMJC DOMAIN-CONTAINING HISTONE DEMETHYLATION PROTEIN												(1 of 6) PTHR12549:SF16 - HISTONE H3MK9 DEMETHYLASE
PAC:26789500	G. raimondii	Gorai.013G010300	Gorai.013G010300.1	Gorai.013G010300.1	PF01753; PF13414	PF13414 - TPR repeat; PF01753 - MYND finger	PTHR12197:SF173; PTHR12197	PTHR12197:SF173 - CARBOXYLATE CLAMP-TETRATRICOPEPTIDE REPEAT PROTEIN; PTHR12197 - SET AND MYND DOMAIN CONTAINING	KOG2084	KOG2084 - Predicted histone tail methylase containing SET domain	2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase			GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).				(1 of 1) PTHR12197:SF173 - CARBOXYLATE CLAMP-TETRATRICOPEPTIDE REPEAT PROTEIN
PAC:26788774	G. raimondii	Gorai.013G154100	Gorai.013G154100.1	Gorai.013G154100.1	PF00125	PF00125 - Core histone H2A/H2B/H3/H4	PTHR11426	PTHR11426 - HISTONE H3	KOG1745	KOG1745 - Histones H3 and H4			K11253	K11253 - histone H3	GO:0003677; GO:0046982; GO:0000786	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 16) K11253 - histone H3 (H3)
PAC:26774382	G. raimondii	Gorai.004G194700	Gorai.004G194700.1	Gorai.004G194700.1	PF16135	PF16135 - TPL-binding domain in jasmonate signalling	PTHR24098; PTHR24098:SF9	PTHR24098:SF9 - ACYL-COA N-ACYLTRANSFERASE DOMAIN-CONTAINING PROTEIN-RELATED; PTHR24098 - FAMILY NOT NAMED			2.3.1.48	2.3.1.48 - Histone acetyltransferase			GO:0008270; GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.				(1 of 5) PTHR24098:SF9 - ACYL-COA N-ACYLTRANSFERASE DOMAIN-CONTAINING PROTEIN-RELATED
PAC:26801959	G. raimondii	Gorai.005G040900	Gorai.005G040900.1	Gorai.005G040900.1	PF00808	PF00808 - Histone-like transcription factor (CBF/NF-Y) and archaeal histone	PTHR10252:SF49; PTHR10252	PTHR10252:SF49 - SUBFAMILY NOT NAMED; PTHR10252 - HISTONE-LIKE TRANSCRIPTION FACTOR CCAAT-RELATED					K08066	K08066 - nuclear transcription factor Y, gamma	GO:0046982	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.				(1 of 5) K08066 - nuclear transcription factor Y, gamma (NFYC)
PAC:26769917	G. raimondii	Gorai.009G412100	Gorai.009G412100.1	Gorai.009G412100.1	PF00855	PF00855 - PWWP domain					2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase								(1 of 70) 2.1.1.43 - Histone-lysine N-methyltransferase / Protein-lysine N-methyltransferase
PAC:26833325	G. raimondii	Gorai.006G076000	Gorai.006G076000.1	Gorai.006G076000.1	PF05185	PF05185 - PRMT5 arginine-N-methyltransferase	PTHR11006; PTHR11006:SF10	PTHR11006:SF10 - HISTONE-ARGININE METHYLTRANSFERASE CARMER-RELATED; PTHR11006 - PROTEIN ARGININE N-METHYLTRANSFERASE			2.1.1.125	2.1.1.125 - Histone-arginine N-methyltransferase	K05931	K05931 - ""	GO:0008168; GO:0006479	GO:0006479 - The addition of a methyl group to a protein amino acid. A methyl group is derived from methane by the removal of a hydrogen atom.; GO:0008168 - Catalysis of the transfer of a methyl group to an acceptor molecule.				(1 of 3) K05931 - histone-arginine methyltransferase CARM1 [EC:2.1.1.125] (CARM1, PRMT4)
PAC:26777410	G. raimondii	Gorai.004G004100	Gorai.004G004100.1	Gorai.004G004100.1	PF16211; PF00125	PF16211 - C-terminus of histone H2A; PF00125 - Core histone H2A/H2B/H3/H4	PTHR23430	PTHR23430 - HISTONE H2A	KOG1756	KOG1756 - Histone 2A			K11251	K11251 - histone H2A	GO:0003677; GO:0005634; GO:0046982; GO:0000786	GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 22) K11251 - histone H2A (H2A)
PAC:26811635	G. raimondii	Gorai.011G110600	Gorai.011G110600.1	Gorai.011G110600.1	PF00125	PF00125 - Core histone H2A/H2B/H3/H4	PTHR11426	PTHR11426 - HISTONE H3	KOG1745	KOG1745 - Histones H3 and H4			K11253	K11253 - histone H3	GO:0003677; GO:0046982; GO:0000786	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 16) K11253 - histone H3 (H3)
PAC:26766970	G. raimondii	Gorai.009G033700	Gorai.009G033700.1	Gorai.009G033700.1	PF10198	PF10198 - Histone acetyltransferases subunit 3	PTHR31115; PTHR31115:SF3	PTHR31115 - FAMILY NOT NAMED; PTHR31115:SF3 - EXPRESSED PROTEIN												(1 of 3) PTHR31115:SF3 - EXPRESSED PROTEIN
PAC:26760072	G. raimondii	Gorai.010G047000	Gorai.010G047000.1	Gorai.010G047000.1	PF13831; PF13832	PF13831 - PHD-finger; PF13832 - PHD-zinc-finger like domain	PTHR13793:SF96; PTHR13793	PTHR13793 - PHD FINGER PROTEINS; PTHR13793:SF96 - PHD FINGER-CONTAINING PROTEIN	KOG0954	KOG0954 - PHD finger protein	2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase			GO:0008270; GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.				(1 of 2) PTHR13793:SF96 - PHD FINGER-CONTAINING PROTEIN
